activity_name,best_match,confidence_score,category
tenue de la comptabilité et fiscalité,مؤسسة المحاسبة,0.851,rejected because has rejistre comercial or hirafi
الترصيص الصحي و الغاز,لحام بالغاز المعدني الخامل mig-,0.861,exist
استشارات طلبات خدمة الحودةالمسايرة,خدمات جنائزية,0.845,rejected because has rejistre comercial or hirafi
مهندس ري حضري,مهندس في البستنة,0.862,exist
ingénieur génie civil,مهندس في البستنة,0.883,exist
étude et développement du machinisme agricoles,Other,0.774,new propodsed
aluco bond,Other,0.649,new propodsed
électricien bâtiment,ﺣرﻓﻲ ﻛﻬرﺑﺎﺋﻲ  ﻓﻲ اﻟﺑﻧﺎﻳﺎت ﺗرﻛﻳب اﻟﻛﻬرﺑﺎء,0.908,rejected because has rejistre comercial or hirafi
chef chocolatier et confisseries,Other,0.781,new propodsed
تصليح السيارات متنقل (ميكانيك),ميكانيكي متنقل للسيارات,0.906,rejected because has rejistre comercial or hirafi
audit des installations électriques,تقني مراقبة جودة الكهرباء والإلكترونيات,0.838,exist
couturière,aciériste versée coulée,0.896,exist
chanteur et producteur,chanteur,0.87,exist
تركيب و صيانة  الألواح  الشمسية,تركيب و تصليح المعدات و التجهيزات المرتبطة بميدان الطاقة الشمسية و الكهربائية,0.88,rejected because has rejistre comercial or hirafi
électricien,opérateur étalonnage électricité-électronique,0.893,exist
responsable commercial,Other,0.827,new propodsed
agent de réservation online,Other,0.792,new propodsed
psychomotricien مختص نفسي حركي,Other,0.71,new propodsed
boutique en ligne,مسوق التجارة الالكترونية,0.845,exist
صانع حلويات في البيت,Other,0.757,new propodsed
صيانة المركبات ذات الوزن الخفيف,Other,0.75,new propodsed
conseille,Other,0.759,new propodsed
choufaur vtc,Other,0.708,new propodsed
product owner / product manager,Other,0.703,new propodsed
صناعة التحف الفنية,تجارة بالتجزئة للوحات و الأعمال الفنية,0.868,rejected because has rejistre comercial or hirafi
gâteaux traditionnel,حلويات تقليدية,0.921,rejected because has rejistre comercial or hirafi
trading,Other,0.826,new propodsed
mini market,Other,0.724,new propodsed
voyages organisé,Other,0.718,new propodsed
trading,Other,0.826,new propodsed
formateur,cadreur,0.847,exist
خدمات انتاج السلع,Other,0.759,new propodsed
تقني réparation tv électronique,Other,0.828,new propodsed
مواد فلاجية,tuyauteur en matières plastiques,0.874,exist
تصليح سيارات متنقل )كهرباء السيارات),ﺣرﻓﻲ ﻓﻲ ﻛﻬرﺑﺎء اﻟﺳﻳﺎرات ﺗﺻﻠﻳﺢ ﻛﻬرﺑﺎء اﻟﺳﻳﺎرات,0.901,rejected because has rejistre comercial or hirafi
كاتب عمومي,Other,0.796,new propodsed
تداول العملات الرقمية,Other,0.724,new propodsed
conseiller en fiscalité,Other,0.822,new propodsed
ingénierie des systèmes d'information et des logiciels,architecte des systèmes d'information,0.855,exist
نجارة البفسي و الالمنيوم و المطابخ العصرية,Other,0.748,new propodsed
سياحة واسفار,دليل في السياحة,0.955,rejected because has rejistre comercial or hirafi
architecte,Other,0.819,new propodsed
décoration placoplatre,menuisier en décor spectacle,0.842,exist
développement et vente en ligne des logiciels de calcul électrique,Other,0.675,new propodsed
renouvellement de la rampe des escaliers de la direction des impôts aissat idir béjaïa,Other,0.609,new propodsed
faire des lits pour enfants,Other,0.642,new propodsed
plombier,technicien de plancher,0.905,exist
responsable d’un coffe shop,Other,0.734,new propodsed
couture,couturier spectacle,0.832,exist
entreprises,الشركة القابضة.,0.873,rejected because has rejistre comercial or hirafi
تبليط وجهات عمرات,ﺻــــــــﻧﺎﻋﺔ اﻟﻬﻼﻟﻳــــــــﺎت و اﻟﺣﻠوﻳــــــــﺎت,0.906,rejected because has rejistre comercial or hirafi
traveuax déléctricité et vente des enseignes lumineuse,Other,0.702,new propodsed
vitrier,Other,0.738,new propodsed
comerce mobile,Other,0.735,new propodsed
تصليح الهواتف,ﺣرﻓﻲ ﻓﻲ ﺗﺻﻠﻳﺢ اﻟﻬﺎﺗف اﻟﺛﺎﺑت اﻟﻬﺎﺗف اﻟﻧﻘﺎﻝ وآﻻت اﻻﺗﺻﺎﻝ ﻋن ﺑﻌد,0.924,rejected because has rejistre comercial or hirafi
peintre décorateur,peintre en décor spectacle,0.904,exist
développement informatique,informaticien de développement,0.913,exist
artiste decoratur design interieur,مصمم ديكور العرض,0.852,exist
vendeur en bilan,مسؤول المبيعات المتوقعة,0.846,exist
fast food,Other,0.729,new propodsed
guide touristique,دليل في السياحة,0.863,rejected because has rejistre comercial or hirafi
je veux creer une application mobile et la gerer,Other,0.769,new propodsed
نحال وبائع منتجات الخلية,Other,0.745,new propodsed
electricien bâtiment,technicien de maintenance électrique,0.887,exist
بيناأ,اﻟﺟﺎﻓﺔ,0.978,rejected because has rejistre comercial or hirafi
03-21-007,Other,0.582,new propodsed
التوصيل,خطاط متنقل,0.89,rejected because has rejistre comercial or hirafi
حرفي الرخام والڨرانيت,ﺗﺷﻛﻳﻝ ﻗواﻟب ﺻب إاﺳﻣﻧت,0.883,rejected because has rejistre comercial or hirafi
coworking,Other,0.729,new propodsed
تركيب المكيفات,ﺗرﻛﻳب اﻟﻣﻛﻳﻔﺎت وآﻻت   اﻟﺗﺑرﻳد,0.964,rejected because has rejistre comercial or hirafi
chef electro,Other,0.732,new propodsed
ingéniering et conseil techniques,Other,0.772,new propodsed
trading,Other,0.826,new propodsed
confection de clé et cachet humides,Other,0.749,new propodsed
تركيب الأسقف الصباغة إعادة تهيئة المنازل,ﺗرﻛﻳب ﻫﻳﻛﻝ اﻟﺳﻘف اﻟﺧﺷﺑﻲ وﻧﺟﺎرة اﻟﺑﻧﺎﻳﺎت,0.9,rejected because has rejistre comercial or hirafi
تجارة,تجارة بالتجزئة للبزاة,0.907,rejected because has rejistre comercial or hirafi
تلحيم الفضة والذهب,Other,0.777,new propodsed
courant faible et courant fort,Other,0.664,new propodsed
audit ressources huamines,Other,0.659,new propodsed
ديكوات سقف وكهراباء,Other,0.818,new propodsed
chefoure yassire,Other,0.654,new propodsed
موقف السيارات مغطى,Other,0.762,new propodsed
خدمات,مؤسسة خدمات المواني,0.877,rejected because has rejistre comercial or hirafi
كراء منازل باليوم,وساطة عقارية,0.834,rejected because has rejistre comercial or hirafi
تقني مختص في تحديد اماكن حفر ابار المياه الجوفية,Other,0.808,new propodsed
web development \ python developer,développeur(se) python,0.831,exist
حرفي في البناء,اﻟﺑﻧﺎء,0.876,rejected because has rejistre comercial or hirafi
guide touristique,دليل في السياحة,0.863,rejected because has rejistre comercial or hirafi
تعليب وتوظيب,ﺣرﻓﻲ  ﻓﻲ  ﺗﺻﻠﻳـــﺢ  اﻟﻣوازﻳن  و,0.847,rejected because has rejistre comercial or hirafi
حلاق,اﻟﺟﺎﻓﺔ,0.974,rejected because has rejistre comercial or hirafi
تجارة الكترونيه,محلل التجارة الإلكترونية,0.962,exist
commerce en gros,تجارة بالتجزئة للبزاة,0.869,rejected because has rejistre comercial or hirafi
guide touristique,دليل في السياحة,0.863,rejected because has rejistre comercial or hirafi
énergie souler,Other,0.779,new propodsed
architecte d'intérieur,architecte en décors spectacle,0.834,exist
travaux secrétariats,Other,0.794,new propodsed
conseil formation audit diagnostic en maintenance industrielle,Other,0.729,new propodsed
location véhicules,Other,0.79,new propodsed
gestion administratif des sociétés,Other,0.783,new propodsed
networking & web services,Other,0.751,new propodsed
proofreader,Other,0.566,new propodsed
architecture visualisation,Other,0.684,new propodsed
خدمات لوجيستيه,Other,0.807,new propodsed
مجال التداول,تجارة بالتجزئة للبزاة,0.855,rejected because has rejistre comercial or hirafi
vente en ligne,Other,0.666,new propodsed
graveur,Other,0.799,new propodsed
دار نشر وطباعة وتوزيع,مؤسسة النشر والتوزيع,0.872,rejected because has rejistre comercial or hirafi
نجارة معمارية,مؤسسة معمارية,0.896,rejected because has rejistre comercial or hirafi
نشارة الخشب,ﺣرﻓﻲ ﻓﻲ ﻧﺷﺎرة اﻟﺧﺷب اﻟﻧﺷﺎرة,0.948,rejected because has rejistre comercial or hirafi
تعليم الاطفال الصغار ( تمهيدي تحضيري ),Other,0.758,new propodsed
achat et vente,Other,0.824,new propodsed
cabinet comptable,مؤسسة المحاسبة,0.873,rejected because has rejistre comercial or hirafi
chauffeur,chauffeur de salle,0.881,exist
conseils créateur idée clé en main,Other,0.723,new propodsed
trading stock market,وسطاء في عمليات البورصة,0.854,rejected because has rejistre comercial or hirafi
modérateur d’événements,Other,0.787,new propodsed
installation réseau et traitement de données,Other,0.757,new propodsed
صناعة المحتوى السياحي +تعليم الطبخ,Other,0.614,new propodsed
artistes en effets visuels,chargé artistique spectacle,0.901,exist
voyage et tourisme,دليل في السياحة,0.936,rejected because has rejistre comercial or hirafi
مخرج رسوم متحركة,animateur de spectacle,0.853,exist
الإستشارات /تكوين/  تدريب,Other,0.798,new propodsed
expert en sécurité industrielle,spécialiste en conformité réglementaire en sécurité,0.844,exist
consultant fonctionnel erp,consultant –erp,0.898,exist
سائق للأفراد,سائق(ة) للأفراد,0.975,exist
entrepreneur,Other,0.678,new propodsed
وكالة كراء السيارت النفعية والعتاد,تجهيز و تركيب لواحق السيارات,0.843,rejected because has rejistre comercial or hirafi
assistant de gestion en ressources humaines,assistant de gestion en ressources humaines,1.0,exist
تكوين مدربين في مختلف النشطات,Other,0.725,new propodsed
mécanique énergétique/électricité du bâtiment,ﺣرﻓﻲ ﻛﻬرﺑﺎﺋﻲ  ﻓﻲ اﻟﺑﻧﺎﻳﺎت ﺗرﻛﻳب اﻟﻛﻬرﺑﺎء,0.848,rejected because has rejistre comercial or hirafi
ديكوات سقف وكهراباء,Other,0.818,new propodsed
صنع وتغليف آرائك  وستاءر,Other,0.774,new propodsed
نجارة الالمنيوم ونركيب الزجاج,عامل تقطيع ونفخ الزجاج المسطح,0.859,exist
marketing,chargé d'études en marketing,0.832,exist
1. artiste-plasticien(ne) 2. décorateur(trice) d'intérieur 3. esthéticienne,Other,0.745,new propodsed
vedeure vetmen,Other,0.716,new propodsed
معلم برمجيات الهندسة,ingénieur d'étude informatique,0.839,exist
fast food,Other,0.729,new propodsed
esthétique,Other,0.732,new propodsed
patissier,Other,0.756,new propodsed
نجارة,اﻟﺳﺎﻗﻳﺔ,0.893,rejected because has rejistre comercial or hirafi
تقطير و عصر الزيوت النباتات الطبية و العطرية,Other,0.794,new propodsed
اكل سريع,Other,0.764,new propodsed
engineering electrique,ingénieur technique électrique et électronique,0.87,exist
brand identity designer,Other,0.734,new propodsed
بناء,اﻟﺑﻧﺎء,0.987,rejected because has rejistre comercial or hirafi
سائقي ألات الأشغال العموميه,مطلة ودهن السيارات,0.848,rejected because has rejistre comercial or hirafi
plombier,technicien de plancher,0.905,exist
frigorist,frigoriste,0.988,exist
aide-soignante à domicile/service de soins infirmiers à domicile,infirmier(ère) à domicile,0.865,exist
تسوية وضعية العامل,Other,0.721,new propodsed
publicité,maquettiste d'exécution publicitaire,0.857,exist
plombier,technicien de plancher,0.905,exist
تفريخ السمان,اﻟﺧردوات,0.93,rejected because has rejistre comercial or hirafi
décorateur d'intérieur,مشغل عرض ديكور,0.882,exist
taxi,مؤسسة سيارات الأجرة,0.895,rejected because has rejistre comercial or hirafi
désigner bijoux,Other,0.665,new propodsed
une petite institution qui vend et livre des commandes à domicile,Other,0.741,new propodsed
نقل الافراد,نقل الأشخاص الموجه,0.948,rejected because has rejistre comercial or hirafi
plombier,technicien de plancher,0.905,exist
رسام اسقاط في الهندسة المعمارية -dessinateur projecteur on architecteur,Other,0.813,new propodsed
drone pilote,Other,0.629,new propodsed
coiffeur,coiffeur spectacle,0.909,exist
chauffeurs de personnes,chauffeur(se) de personnes,0.953,exist
مكون في السياحة و الفندقة,الإقامات السياحية,0.901,rejected because has rejistre comercial or hirafi
فني اصلاح هواتف,تقني صيانة في مجال الهواتف,0.887,exist
designer d’espace,Other,0.81,new propodsed
مختص في التدفئة,مختص في التدفئة,1.0,exist
service de déménagement,خدمات الجر و الرأب المتنقل,0.831,rejected because has rejistre comercial or hirafi
